SITECODE,LCODE,VISIT,SDATE,FROMHOUR,FROMMINS,TOHOUR,TOMINS,CLOUD,RAIN,WIND,VISIBILITY
T02,01,L,06-Jul-06,7,30,9,45,1,1,3,1
T06,01,L,08-Jul-06,8,40,9,45,1,1,1,2
T02,03,L,09-Jul-06,8,30,10,0,2,1,3,1
T04,03,L,14-Jul-06,6,50,8,5,1,1,1,1
T10,01,E,17-Apr-07,8,5,9,15,3,1,2,1
T10,02,E,17-Apr-07,6,45,7,45,3,1,2,1
T04,02,E,18-Apr-07,10,25,12,0,1,1,3,1
T05,01,E,27-Apr-07,6,25,8,45,2,1,1,1
T07,04,E,01-May-07,9,36,10,58,2,1,2,1
T04,03,E,01-May-07,6,55,8,0,1,1,3,1
T07,02,E,01-May-07,6,39,8,0,1,1,1,1
T06,01,E,01-May-07,8,30,9,45,0,0,2,2
T07,01,E,01-May-07,8,0,8,59,2,1,1,1
T07,03,E,01-May-07,10,58,12,18,2,1,2,2
T11,01,E,12-May-07,9,30,11,5,3,2,3,1
T03,01,E,13-May-07,6,15,7,45,2,1,1,1
T12,01,E,15-May-07,5,0,6,30,1,1,1,1
T02,01,E,16-May-07,7,15,10,0,3,1,2,1
T02,02,E,16-May-07,7,15,10,0,3,1,2,1
T01,01,E,17-May-07,7,30,10,50,3,2,2,1
T02,03,E,17-May-07,7,30,9,30,3,1,2,1
T09,01,E,22-May-07,6,30,8,15,1,1,1,1
T04,01,E,23-May-07,10,35,11,50,2,1,3,2
T04,02,L,30-May-07,13,15,14,40,2,1,3,1
T05,01,L,06-Jun-07,6,0,8,3,2,1,1,1
T10,02,L,12-Jun-07,6,30,7,45,3,0,0,3
T10,01,L,12-Jun-07,7,55,9,5,3,0,0,3
T07,04,L,19-Jun-07,7,24,9,0,3,1,1,1
T07,01,L,19-Jun-07,9,20,10,13,3,1,1,1
T07,02,L,19-Jun-07,10,14,11,28,3,1,1,1
T07,03,L,19-Jun-07,0,0,7,24,3,1,1,1
T09,01,L,20-Jun-07,6,35,8,15,3,1,3,1
T04,01,L,20-Jun-07,11,5,12,20,2,1,2,1
T01,01,L,21-Jun-07,7,35,11,10,2,1,2,1
T12,01,L,21-Jun-07,4,30,6,1,1,1,1,1
T11,01,L,29-Jun-07,9,20,11,0,3,1,2,1
T03,01,L,30-Jun-07,6,15,7,45,3,2,2,2
T02,02,L,02-Jul-07,8,0,10,0,3,1,2,1
T02,01,L,02-Jul-07,8,0,10,0,3,1,2,1
T02,03,L,03-Jul-07,7,30,9,0,3,1,2,1
T06,01,L,10-Jul-07,8,30,9,50,1,0,1,2
T10,01,E,24-Apr-08,6,35,7,35,3,1,3,1
T10,02,E,25-Apr-08,6,55,8,5,2,1,1,1
T05,01,E,30-Apr-08,6,0,8,5,1,1,1,1
T04,01,E,30-Apr-08,11,10,12,25,3,1,2,1
T11,01,E,02-May-08,9,0,10,30,2,1,1,1
T12,01,E,05-May-08,6,30,7,55,1,1,1,1
T07,01,E,05-May-08,8,0,8,59,1,1,1,1
T07,04,E,05-May-08,9,32,11,3,1,1,1,1
T07,03,E,05-May-08,11,30,12,30,1,1,1,1
T07,02,E,05-May-08,7,50,9,5,1,1,1,1
T04,02,E,06-May-08,15,15,17,0,0,1,3,1
T06,01,E,07-May-08,8,30,10,5,1,0,0,2
T02,02,E,13-May-08,7,0,9,15,3,1,2,1
T03,01,E,13-May-08,5,55,7,50,1,1,1,1
T02,01,E,13-May-08,7,0,9,15,3,1,2,1
T01,01,E,14-May-08,7,0,10,5,2,1,1,1
T04,03,E,15-May-08,7,0,8,30,3,1,3,1
T02,03,E,19-May-08,8,15,10,0,1,1,2,1
T09,01,E,31-May-08,6,30,8,10,1,1,1,1
T05,01,L,06-Jun-08,6,15,8,5,1,1,2,1
T04,02,L,09-Jun-08,12,0,13,35,1,1,3,1
T12,01,L,09-Jun-08,5,10,6,40,2,1,3,1
T04,01,L,11-Jun-08,11,20,12,35,,,,
T01,01,L,17-Jun-08,6,45,10,15,1,1,1,1
T07,02,L,20-Jun-08,9,41,10,48,3,1,2,1
T07,04,L,20-Jun-08,8,5,9,20,3,1,2,1
T07,01,L,20-Jun-08,10,48,12,4,2,1,2,1
T07,03,L,20-Jun-08,6,55,8,5,2,1,2,1
T11,01,L,24-Jun-08,8,50,10,25,3,1,1,1
T02,01,L,27-Jun-08,7,45,10,0,1,1,3,1
T02,02,L,27-Jun-08,7,45,10,0,1,1,3,1
T09,01,L,27-Jun-08,7,0,8,40,1,1,1,1
T03,01,L,29-Jun-08,6,35,8,10,1,1,1,1
T10,02,L,30-Jun-08,6,55,8,0,,,,
T10,01,L,30-Jun-08,8,10,9,0,,,,
